userID,text,created_at,favorite_count,followers_account,friends_count,location
7890,RT @Larakate: Her ability to keep her shit together through the this bullshit is beyond presidential it's heroic.,10/09/2016 22:00:00 EDT,6214,747,1107,Baltimore
1837,RT @zellieimani: Trump thinks it's ok to do things because other people do it. From tax evasion to sexual harassment. #debate,10/09/2016 22:00:01 EDT,22971,1439,3443,PA
19247,RT @JeffreyGoldberg: Donald Trump knows that Russia was behind the hack because he had a classified briefing on the subject.,10/09/2016 22:00:02 EDT,273,127,316,NYC
18185,"RT @girlposts: When you take 100,000,000 pics and none of them come out right. https://t.co/29mXX19mfi",10/09/2016 22:00:01 EDT,6799,162,243,"Hillsboro, OR"
21804,"RT @JoshuaMedcalf: It's sad to me we are still waiting, hoping, and believing politicians are going to save us. 

Wake up. 
You &amp; I are res…",10/09/2016 22:00:02 EDT,5022,1092,2147,NJ
3301,All talk and No Action Hillary #debate,10/09/2016 22:00:03 EDT,112,59,183,Ohio
1526,RT @KevinMKruse: Trump's handlers need to come on stage and guide him back to his chair.,10/09/2016 22:00:04 EDT,623,584,1408,"Lititz, PA"
11440,"@jesseleesoffer @lynndean1190 Amen! He has no experience, NONE!!",10/09/2016 22:00:05 EDT,19699,468,278,I wish I was at the beach.
3817,Democrats for ya https://t.co/sUQNYh5j9o,10/09/2016 22:00:05 EDT,4639,463,1861,"San Jose, CA "
19445,I literally have fallen to the floor over this debate,10/09/2016 22:00:05 EDT,720,536,478,"Ames, IA"
7808,#debate has this clown answered a question yet?,10/09/2016 22:00:05 EDT,3691,268,284,Peoria
8487,In Minnesota #myvote goes to Evan McMullin. https://t.co/8Ii5eoi7Tf,10/09/2016 22:00:03 EDT,1497,1325,1297,Minnesota
1444,"RT @mdotbrown: ""look at him! he's fucking this chair and you're still taking him seriously! can we just vote now?!"" https://t.co/iNxDBwu7sX",10/09/2016 22:00:06 EDT,4127,4117,976,Philadelphia 
12851,RT @pattonoswalt: I just realized -- I wanna play unlimited Hold 'Em against Donald Trump. HE SNIFFS WHEN HE'S ABOUT TO LIE. #debates,10/09/2016 22:00:06 EDT,225,150,279,"Los Angeles, CA"
