userID,text,created_at,favorite_count,followers_account,friends_count,location
11344,Police start the presidential debate memes swirling on Twitter     - CNET: It's not only a big night for demo... https://t.co/2DdSv4wuzH,09/26/2016 21:00:00 EDT,1,123,96,"East Point, GA"
2061,"RT @thereaIbanksy: become the most positive, enthusiast person you know",09/26/2016 21:00:03 EDT,481,116,244,"Kansas City, MO USA"
22644,This is gonna be a stressful ass week.,09/26/2016 21:00:03 EDT,9930,176,163,"Dundee, Oregon"
9694,RT @KevinBracken4: #serviceselfie #T2Trun NY Metro!! Team Lemma @LemmaTony @BlankenshipSB https://t.co/9CPxYvUNOJ,09/26/2016 21:00:12 EDT,8135,235,136,NY Metro  
9087,RT @HillaryClinton: Let's do this. #DebateNight https://t.co/NkPEGHzucT,09/26/2016 21:00:13 EDT,141,70,163,"New York, NY"
8849,RT @hyperjeff: Why the Father of Modern Statistics Didn’t Believe Smoking Caused Cancer https://t.co/euJVbNEyjn,09/26/2016 21:00:15 EDT,4486,413,1298,Illinois
14055,"Eckerd College Ending Some Programs in St. Pete, Tampa #Lutz #News https://t.co/C5RhgMOndD #parkbenchnews",09/26/2016 21:00:16 EDT,106,556,1327,Tampa Florida
13147,"@Denver_dan @whizwhit @enjoyLaCroix this is empty, but.... https://t.co/6jqa5DxBfw",09/26/2016 21:00:18 EDT,245,3356,380,"Carlsbad, CA | Kailua, HI"
15246,"Oooooooo, Mad Hatter is coming! So pumped #Gotham",09/26/2016 21:00:19 EDT,3081,461,427,"Scranton, Pa"
21321,RT @WestPalmPD: Dive Team #Training. We get cool underwater pics because #CSI Rumbelow is on the team! #Underwater #Dive #Police https://t.…,09/26/2016 21:00:25 EDT,3522,980,722,West Palm Beast
864,@OliviaKMaynard @AnneBevan1 An invasion of privacy IS an injury.,09/26/2016 21:00:26 EDT,1302,576,1147,Gig Harbor
9694,RT @LemmaTony: Team HD will run T2T this am. Thanks to all who have supported us in building for Americas Bravest! #serviceselfie https://t…,09/26/2016 21:00:30 EDT,8136,235,136,NY Metro  
236,Readying 4 the debate with @MaricopaCountyDemocrats in #tempe #PinkCoffeeCup where's the… https://t.co/rmTk5AEwfY,09/26/2016 21:00:34 EDT,1902,906,495,"S0-Hi, AZ"
9752,"IN THIS CORNER… the repulsive mongoloid racist, @realDonaldTrump

AND IN THIS CORNER… the least likable corrupt corporatist, @HillaryClinton",09/26/2016 21:00:35 EDT,594,435,166,127.0.0.1
571,Helicopter or Snow Plow? What kind of parent are you? #parenting https://t.co/FhzbmiA1AF https://t.co/7HznbsJVws,09/26/2016 21:00:35 EDT,3798,56173,41693,"Pittsburgh, PA, USA"
1196,"@BobRich04662764 Are you my friend ""stick""????",09/26/2016 21:00:36 EDT,169,1821,1830,Beautiful Commonwealth of VA
17462,@mishacollins I'll be watching the debate! Good to keep informed. #PresidentialDebate,09/26/2016 21:00:39 EDT,373,158,420,"Missouri, USA"
22679,"Cesaro and Sheamus in a tag team? I mean...

#WWE #RAW https://t.co/KSItduGoHX",09/26/2016 21:00:40 EDT,2095,124,104,"Lancaster, PA"
9776,General Grievous  #UnlikelyDebateGuests https://t.co/9tn1LrjiX9,09/26/2016 21:00:46 EDT,2717,402,964,"West Virginia, USA"
7418,"@StillNotSam ""Well, I always thought that archeologists were funny little men looking for their 'mommies' "" - Willie Scott",09/26/2016 21:00:47 EDT,975,53,119,"Austin, TX"
14470,"RT @CloydRivers: As long as there’s breath in my body, and blood pumpin’ through my veins, I will always stand for the National Anthem. Mer…",09/26/2016 21:00:51 EDT,529,175,355,"Waupaca/Wausau, WI"
9536,thank you youtube live for the debates - zero commentary is so refreshing.,09/26/2016 21:00:51 EDT,390,605,726,"Brooklyn, NY"
2010,"When real, unedited debate takes place, the left loses.. #MakeAmericaGreatAgain",09/26/2016 21:00:54 EDT,288,172,228,Virginia
17452,A quick look back before we start — Republican voters' path to backing Donald Trump. #Debates2016 https://t.co/SbXHPznlJm,09/26/2016 21:00:55 EDT,2242,725,805,"Washington, DC"
2061,@sotnsot apple wireless keyboard. https://t.co/pQVDaLLc1a,09/26/2016 21:00:56 EDT,482,116,244,"Kansas City, MO USA"
12435,@the_explicator Challenges of grading gets in the way of good assessment IMHO. We can talk more when Hilary and Donald aren't!  #NYEDchat.,09/26/2016 21:00:56 EDT,2122,1925,1304,"Farmington, CT"
21430,@briannanoellek dang it! Oct 13th? I'm a away on vacation! Isn't anyone having a costume Halloween party?!!,09/26/2016 21:00:56 EDT,1432,1360,1257,"Los Angeles, California"
10143,RT @HouseofCards: There can be no false steps now. #DebateNight,09/26/2016 21:01:00 EDT,1608,233,411,"Charleston, WV"
17073,RT @VancityReynolds: Going to bed at 8:30pm is my version of a big plate of coke.,09/26/2016 21:01:02 EDT,1533,460,971,"Ipswich, Ma"
13310,https://t.co/7t86p8ncvi it's happening!,09/26/2016 21:01:03 EDT,1093,172,1314,NC
3071,Beautiful pool view from an upstairs window! #chatsworth #teamlorraineandcarie #luxurylifestyle… https://t.co/kGDe9Yo288,09/26/2016 21:01:04 EDT,23,495,681,"Los Angeles, CA"
8954,@KyloRensXanga thank you for posting about them and making me only want to draw them,09/26/2016 21:01:04 EDT,12217,701,270,"Albany, NY"
12109,https://t.co/yRgV1APaoF,09/26/2016 21:01:09 EDT,5492,2617,2401,"Somerdale, NJ (USA)"
17892,"MY #DebatePrep 

#DrinkingSolo #sad #election #2016 https://t.co/D9CWCBtn22",09/26/2016 21:01:09 EDT,6107,1482,865,"NJ, NYC, SHH RIGHT BEHIND YOU!"
9535,the mad hatter on Gotham? FIRE,09/26/2016 21:01:10 EDT,2062,570,548,new york
1268,"Pizza cooking, Nerf guns loaded, popcorn in the wings. Let's get this puppy going. #Debates2016",09/26/2016 21:01:13 EDT,682,682,513,Seattle
9817,@jillianbowe I know!  I feel so anxious.  I need a Xanax or something.,09/26/2016 21:01:17 EDT,1245,198,1081,New York City
15004,"RT @danagould: ""They're both terrible,"" in the same way hitting a curb and blowing a tire and hitting a bus and killing 8 kids are, ""both c…",09/26/2016 21:01:20 EDT,305,335,551,Indiana
21820,RT @HayesBrown: Someone needs to take the audio stream of Lester Holt sitting quietly for five minutes and make it into performance art,09/26/2016 21:01:20 EDT,390,708,2354,"Washington, D.C. | Boston, MA"
12109,The Musicians Behind one of the Most Sampled Songs in History Finally Got Paid https://t.co/N4YO3SM3Oq,09/26/2016 21:01:21 EDT,5492,2617,2402,"Somerdale, NJ (USA)"
15909,"RT @PeterBurnsESPN: My guess for tonight’s debates. We are expecting Clemson/Alabama type excitement, I think we’ll end up getting Northern…",09/26/2016 21:01:22 EDT,1341,2015,1058,Tuscaloosa || Knoxville
21154,"All right, let's do this. #PresidentialDebate",09/26/2016 21:01:26 EDT,7982,538,1091,"Revelo, KY"
9694,RT @Miss_T_Holland: She is the reason for my strength...Surprised her on my way home.....Praying for her to come home soon. #Mygrandma http…,09/26/2016 21:01:27 EDT,8137,235,136,NY Metro  
20550,Why Mktrs Need to Partner with HR f/ @RishiPDave @DunAndBrad   https://t.co/fnjSGZrPea https://t.co/qZa1MKH0j1,09/26/2016 21:01:32 EDT,1774,11264,9848,Charlottesville Virginia
8809,Serious fan girl moment @TawnyWeber added me as a friend in Goodreads.,09/26/2016 21:01:33 EDT,519,1688,2524,"Illinois, USA"
15909,RT @TopTierU: Know the difference https://t.co/rGH42Pylb0,09/26/2016 21:01:33 EDT,1341,2015,1058,Tuscaloosa || Knoxville
2655,.@bserrurier knows how to start the #debatenight w/ #Skittles #dumptrump @YaleFES https://t.co/E655sjS2sj,09/26/2016 21:01:34 EDT,165,271,463,"New Haven, CT"
11867,Ready https://t.co/0Je6O0MxAT,09/26/2016 21:01:34 EDT,972,298,191,NC
1146,It's time. #debatenight,09/26/2016 21:01:39 EDT,2968,408,334,"Seattle, WA"
4112,Hardest #debatenight jobs tonight? @BloombergTV's real-time fact checkers. I salute you @bpolitics staff!,09/26/2016 21:01:40 EDT,23292,1655,1339,"San Francisco, CA"
21578,"RT @jacksfilms: Here's the official Trump/Hillary debate DRINKING GAME!

Rules:
-drink https://t.co/dgCUa72jYI",09/26/2016 21:01:40 EDT,17586,144,169,"Katy, TX"
21154,RT @scottmccloud: Imagine you're about to see a job interview. And your life depends on making the right choice. Cause you are. And it does.,09/26/2016 21:01:41 EDT,7982,538,1091,"Revelo, KY"
4929,"Quick. Before #DebateNight starts, watch this and renew your faith in humanity. He honored Fernandez by taking the… https://t.co/jwdbHNPlep",09/26/2016 21:01:41 EDT,3836,3547,353,"Sun Prairie, WI"
13147,"Ready for #debatenight, bring it on Clinton and Trump. #BartletforAmerica https://t.co/4XG0O5VTrc",09/26/2016 21:01:48 EDT,245,3356,380,"Carlsbad, CA | Kailua, HI"
9694,RT @Mcgalec99: Always a GREAT time with this group!  @JahnJoyce @BIngsgirl25 @AlizdelR @ms_carly_renee @DHRMgregorio @williams2_e @AlizdelR…,09/26/2016 21:01:49 EDT,8138,235,136,NY Metro  
3234,Not going to tweet the debate. You know how I feel. What is the point? #IAmWithHer https://t.co/yVtChNMf08,09/26/2016 21:01:49 EDT,733,4681,3150,"Laguna Beach, CA"
10842,Oh now Lee wants to pop back up into Bruce's life?? #gotham #yunggotham https://t.co/SVw7tuYWHe,09/26/2016 21:01:50 EDT,3287,1890,1748,"West Palm Beach, FL"
16434,Yes. Sadly. https://t.co/7TK52sjfVH,09/26/2016 21:01:50 EDT,1571,765,1116,Savannah 
22220,I am already stress eating. I can't believe I got talked into watching this thing.,09/26/2016 21:01:54 EDT,2038,1523,461,"Chicago, IL"
9060,@SeanGFrank @dissonance_pod you ever joke about a car crash with friends on a road trip and then hit a snowstorm? That's my life right now.,09/26/2016 21:02:00 EDT,2076,4049,321,NEW YORK CITY
13310,RT @HillaryClinton: So much is at stake this election. Now’s the time to show what side you’re on. Add your name if you’re with Hillary. ht…,09/26/2016 21:02:04 EDT,1093,172,1314,NC
2437,Love the little arrogant turds-new trust fund kids-put then on the street with nothing-that arrogance withers like… https://t.co/5hXdWtH9Pg,09/26/2016 21:02:04 EDT,308514,165078,169572,Nevada
11320,Let the wine drinking begin! 😍😂😜 #debates #debatenight #Debates2016 #hillaryclinton #ImWithHer #Hillary2016,09/26/2016 21:02:04 EDT,105,44,222,"Charlotte, NC"
17452,"A quick look back before we start — Democratic voters and the road to nominating Hillary Clinton. #Debates2016 
https://t.co/8VfzfNO1Fz",09/26/2016 21:02:05 EDT,2242,725,805,"Washington, DC"
5368,Good to see Kris Bryant get over that 99 RBI hump that seemed to plague him going into the playoffs! #Cubs #KB #FlyTheW,09/26/2016 21:02:05 EDT,4857,239,737,"Kenosha, WI"
20697,"@jenniferweiner lol, i love her offering @ZachGalifinak ""pamphlets"" explaining why she can't get pregnant",09/26/2016 21:02:10 EDT,799,775,639,"New York, NY"
4929,"RT @SportsCenter: Incredible.

In Marlins' 1st AB since José Fernández's death, Dee Gordon takes pitch right-handed to honor the late pitch…",09/26/2016 21:02:11 EDT,3836,3547,353,"Sun Prairie, WI"
7788,Not appropriate. https://t.co/fwb7nLDMAM,09/26/2016 21:02:11 EDT,0,356,384,"Milwaukee, WI"
3817,Imagine if Trump does well (he won't). Oh the media backlash tomorrow! #Debates2016,09/26/2016 21:02:16 EDT,4568,457,1862,"San Jose, CA "
2437,"@BCayenneBird 🌻🌚🌝⛄ᏒᎬmᎬmbᎬᏒ ᏆhᎾsᎬ ᏞᎬss fᎾᏒᏆuᏁᎪᏆᎬ♥♬☮☯  ỹ̰õ̰ṵ̃ ã̰r̰̃ḛ̃ t̰̃h̰̃ḛ̃ c̰̃h̰̃ã̰ñ̰g̰̃ḛ̃ 💚   ҒΩLLΩШ
https://t.co/BhFaMppZhL",09/26/2016 21:02:20 EDT,308514,165078,169572,Nevada
13147,@whizwhit @Denver_dan @enjoyLaCroix what! I'm getting cheated out here in California!,09/26/2016 21:02:20 EDT,245,3356,380,"Carlsbad, CA | Kailua, HI"
16549,https://t.co/pUZ6BSTlQQ https://t.co/wGe5nH5wyY,09/26/2016 21:02:20 EDT,21,12,47,"Olympia, WA"
17999,A punto de comenzar primer debate presidencial en Estados Unidos. La primera pregunta será… https://t.co/ChWHUWl3bd,09/26/2016 21:02:20 EDT,7538,197326,2074,Atlanta
10671,@DrJJoyner I think it requires 2 bottles,09/26/2016 21:02:23 EDT,96,657,1391,Florida
14822,RT @Haley_Alaine: Are you ready?! #Debates2016 https://t.co/hgQXLBIQ7A,09/26/2016 21:02:26 EDT,11301,795,996,"Houston, Texas"
13720,#debatenight,09/26/2016 21:02:30 EDT,767,264,237,california
